Compressor name         Compress. Decompress. Compr. size  Ratio Filename
lizard 2.1 -30           3403 MB/s 16258 MB/s     2097217 100.00 /tmp/ait_train/F
lizard 2.1 -45           14.6 MB/s 16433 MB/s     2097217 100.00 /tmp/ait_train/F
misa77 0.6.0 --1          449 MB/s 16584 MB/s     2097168 100.00 /tmp/ait_train/F
misa77 0.6.0 -1          55.4 MB/s 16579 MB/s     2097168 100.00 /tmp/ait_train/F
misa77 0.6.0 -2          52.7 MB/s 15098 MB/s     2105128 100.38 /tmp/ait_train/F
misa77 0.6.0 -4          5.73 MB/s 16580 MB/s     2097168 100.00 /tmp/ait_train/F
lz4 1.10.0                331 MB/s  2350 MB/s     1472078  58.26 /tmp/ait_train/G
zstd 1.5.7 -1             211 MB/s   848 MB/s      962997  38.11 /tmp/ait_train/G
zstd 1.5.7 -3             112 MB/s   609 MB/s      905137  35.82 /tmp/ait_train/G
zstd 1.5.7 -9            28.7 MB/s   678 MB/s      893013  35.34 /tmp/ait_train/G
lizard 2.1 -10            292 MB/s  2290 MB/s     1472298  58.27 /tmp/ait_train/G
lizard 2.1 -20            271 MB/s  1143 MB/s     1363724  53.97 /tmp/ait_train/G
lizard 2.1 -30            218 MB/s  1149 MB/s     1127377  44.62 /tmp/ait_train/G
lizard 2.1 -45           16.3 MB/s   963 MB/s      995647  39.40 /tmp/ait_train/G
misa77 0.6.0 --1          216 MB/s  5379 MB/s     1636650  64.77 /tmp/ait_train/G
misa77 0.6.0 -1          48.9 MB/s  4687 MB/s     1414976  56.00 /tmp/ait_train/G
misa77 0.6.0 -2          33.8 MB/s  4274 MB/s     1297587  51.35 /tmp/ait_train/G
misa77 0.6.0 -4          5.17 MB/s  2266 MB/s     1168052  46.23 /tmp/ait_train/G
lz4 1.10.0                456 MB/s  3510 MB/s      623569  60.97 /tmp/ait_train/H
zstd 1.5.7 -1             281 MB/s   984 MB/s      510899  49.95 /tmp/ait_train/H
zstd 1.5.7 -3             129 MB/s   803 MB/s      458836  44.86 /tmp/ait_train/H
zstd 1.5.7 -9            45.7 MB/s   808 MB/s      437739  42.80 /tmp/ait_train/H
lizard 2.1 -10            362 MB/s  3262 MB/s      627293  61.33 /tmp/ait_train/H
lizard 2.1 -20            253 MB/s  1577 MB/s      607345  59.38 /tmp/ait_train/H
lizard 2.1 -30            252 MB/s  1126 MB/s      563322  55.08 /tmp/ait_train/H
lizard 2.1 -45           13.9 MB/s  1250 MB/s      467605  45.72 /tmp/ait_train/H
misa77 0.6.0 --1          251 MB/s  3894 MB/s      641233  62.70 /tmp/ait_train/H
misa77 0.6.0 -1          30.5 MB/s  5155 MB/s      587661  57.46 /tmp/ait_train/H
misa77 0.6.0 -2          26.6 MB/s  4608 MB/s      555815  54.34 /tmp/ait_train/H
misa77 0.6.0 -4          8.65 MB/s  3196 MB/s      574031  56.13 /tmp/ait_train/H
